    640168	19880531155319	35.4408	-120.7072	 318.00	  42.00	-119.00	 318.00	  42.00	-119.00	 0.0 	2.200	 0.0 	 7.1800
    642738	19880709134502	35.2445	-120.3150	 312.00	  87.00	-157.00	 312.00	  87.00	-157.00	 0.0 	2.440	 0.0 	 4.0300
   1008115	19880825025246	35.3940	-119.5170	  82.00	  20.00	 104.00	  82.00	  20.00	 104.00	 0.0 	2.000	 0.0 	 20.7700
   1009227	19880917132701	35.2982	-120.7733	  31.00	  87.00	 104.00	  31.00	  87.00	 104.00	 0.0 	2.720	 0.0 	 4.5400
   1009232	19880917155020	35.5897	-119.5752	 253.00	  54.00	  96.00	 253.00	  54.00	  96.00	 0.0 	3.180	 0.0 	 34.6300
   1012002	19881023112050	35.7682	-120.3438	 297.00	  74.00	 128.00	 297.00	  74.00	 128.00	 0.0 	3.250	 0.0 	 8.2400
   1012692	19881105150325	34.8655	-119.5043	  20.00	  57.00	 -99.00	  20.00	  57.00	 -99.00	 0.0 	2.090	 0.0 	 10.8000
   1013735	19881125111819	35.7783	-120.3635	 151.00	  71.00	-159.00	 151.00	  71.00	-159.00	 0.0 	2.060	 0.0 	 9.3500
   1018255	19890115011016	35.7628	-120.3390	 295.00	  89.00	 134.00	 295.00	  89.00	 134.00	 0.0 	2.340	 0.0 	 8.3800
   1018278	19890115052755	34.9812	-119.5220	 314.00	  88.00	 173.00	 314.00	  88.00	 173.00	 0.0 	2.530	 0.0 	 13.9300
   1019101	19890124013431	34.7695	-119.5185	  15.00	  48.00	-112.00	  15.00	  48.00	-112.00	 0.0 	2.060	 0.0 	 6.4000
   1026112	19890409020738	35.2080	-120.7325	 140.00	  72.00	-146.00	 140.00	  72.00	-146.00	 0.0 	2.910	 0.0 	 7.7800
   1031518	19890605042125	35.0007	-119.5308	 201.00	  46.00	-102.00	 201.00	  46.00	-102.00	 0.0 	2.430	 0.0 	 10.9300
   1032440	19890616070046	34.8127	-121.0438	 350.00	  60.00	 -97.00	 350.00	  60.00	 -97.00	 0.0 	3.540	 0.0 	 20.3400
   1034763	19890715123005	34.8595	-119.5073	 346.00	  68.00	-162.00	 346.00	  68.00	-162.00	 0.0 	2.530	 0.0 	 9.3400
    140140	19891013061503	35.4365	-119.4918	 130.00	  87.00	-156.00	 130.00	  87.00	-156.00	 0.0 	2.230	 0.0 	 21.7700
    670174	19891025162146	35.7772	-120.3622	  18.00	  45.00	 -82.00	  18.00	  45.00	 -82.00	 0.0 	2.980	 0.0 	 9.4000
